sampling,holdout,unconstrained_mean_l2,powerlaw_mean_l2,geoaware_mean_l2,geoaware_better_than_powerlaw,powerlaw_better_than_unconstrained,strict_order_geo_power_unconstrained,geoaware_reduction_vs_unconstrained_pct,geoaware_reduction_vs_powerlaw_pct
uniform,straight,0.16542366,0.10710888,0.1001431,True,True,True,39.46265002237286,6.503457042964135
uniform,stenosed,0.50107694,0.21376438,0.14848972,True,True,True,70.36588432906133,30.535798340209915
uniform,expanded,0.30669267,0.28368813,0.22471665,True,True,True,26.729044420918182,20.787433016672217
uniform,sinusoidal,0.67753637,0.28973063,0.26490319,True,True,True,60.90199703965707,8.569145761357706
uniform,hyperbolic,0.37903222,0.19451481,0.13366913,True,True,True,64.73409833074349,31.280744124316296
geo-axial,straight,0.17082368,0.10489,0.09844133,True,True,True,42.372550456704836,6.148031270855185
geo-axial,stenosed,0.48179468,0.21636335,0.15810347,True,True,True,67.18447160935858,26.9268709326233
geo-axial,expanded,0.32730793,0.26842512,0.22053407,True,True,True,32.62183717944139,17.8414933743906
geo-axial,sinusoidal,0.66864018,0.28478386,0.25848567,True,True,True,61.34158883481995,9.234438356162459
geo-axial,hyperbolic,0.37554118,0.19299373,0.13366062,True,True,True,64.40853170882617,30.743542808359628
geo-wallstretched,straight,0.1828835,0.11034368,0.10141619,True,True,True,44.546014265912454,8.090621954968327
geo-wallstretched,stenosed,0.48001463,0.22119644,0.14708344,True,True,True,69.35855059251006,33.5055121140286
geo-wallstretched,expanded,0.33347266,0.25710473,0.2099421,True,True,True,37.04368448076073,18.343742645263667
geo-wallstretched,sinusoidal,0.69198266,0.28802585,0.26180405,True,True,True,62.166096763176114,9.103974521731303
geo-wallstretched,hyperbolic,0.39389267,0.19549378,0.13479718,True,True,True,65.77819536474237,31.047842033644248
