arch,sampling,holdout,seed,status,detail
unconstrained,uniform,straight,0,complete,
unconstrained,uniform,straight,1,complete,
unconstrained,uniform,straight,2,complete,
unconstrained,uniform,straight,3,complete,
unconstrained,uniform,straight,4,complete,
unconstrained,uniform,stenosed,0,complete,
unconstrained,uniform,stenosed,1,complete,
unconstrained,uniform,stenosed,2,complete,
unconstrained,uniform,stenosed,3,complete,
unconstrained,uniform,stenosed,4,complete,
unconstrained,uniform,expanded,0,complete,
unconstrained,uniform,expanded,1,complete,
unconstrained,uniform,expanded,2,complete,
unconstrained,uniform,expanded,3,complete,
unconstrained,uniform,expanded,4,complete,
unconstrained,uniform,sinusoidal,0,complete,
unconstrained,uniform,sinusoidal,1,complete,
unconstrained,uniform,sinusoidal,2,complete,
unconstrained,uniform,sinusoidal,3,complete,
unconstrained,uniform,sinusoidal,4,complete,
unconstrained,uniform,hyperbolic,0,complete,
unconstrained,uniform,hyperbolic,1,complete,
unconstrained,uniform,hyperbolic,2,complete,
unconstrained,uniform,hyperbolic,3,complete,
unconstrained,uniform,hyperbolic,4,complete,
unconstrained,geo-axial,straight,0,complete,
unconstrained,geo-axial,straight,1,complete,
unconstrained,geo-axial,straight,2,complete,
unconstrained,geo-axial,straight,3,complete,
unconstrained,geo-axial,straight,4,complete,
unconstrained,geo-axial,stenosed,0,complete,
unconstrained,geo-axial,stenosed,1,complete,
unconstrained,geo-axial,stenosed,2,complete,
unconstrained,geo-axial,stenosed,3,complete,
unconstrained,geo-axial,stenosed,4,complete,
unconstrained,geo-axial,expanded,0,complete,
unconstrained,geo-axial,expanded,1,complete,
unconstrained,geo-axial,expanded,2,complete,
unconstrained,geo-axial,expanded,3,complete,
unconstrained,geo-axial,expanded,4,complete,
unconstrained,geo-axial,sinusoidal,0,complete,
unconstrained,geo-axial,sinusoidal,1,complete,
unconstrained,geo-axial,sinusoidal,2,complete,
unconstrained,geo-axial,sinusoidal,3,complete,
unconstrained,geo-axial,sinusoidal,4,complete,
unconstrained,geo-axial,hyperbolic,0,complete,
unconstrained,geo-axial,hyperbolic,1,complete,
unconstrained,geo-axial,hyperbolic,2,complete,
unconstrained,geo-axial,hyperbolic,3,complete,
unconstrained,geo-axial,hyperbolic,4,complete,
unconstrained,geo-wallstretched,straight,0,complete,
unconstrained,geo-wallstretched,straight,1,complete,
unconstrained,geo-wallstretched,straight,2,complete,
unconstrained,geo-wallstretched,straight,3,complete,
unconstrained,geo-wallstretched,straight,4,complete,
unconstrained,geo-wallstretched,stenosed,0,complete,
unconstrained,geo-wallstretched,stenosed,1,complete,
unconstrained,geo-wallstretched,stenosed,2,complete,
unconstrained,geo-wallstretched,stenosed,3,complete,
unconstrained,geo-wallstretched,stenosed,4,complete,
unconstrained,geo-wallstretched,expanded,0,complete,
unconstrained,geo-wallstretched,expanded,1,complete,
unconstrained,geo-wallstretched,expanded,2,complete,
unconstrained,geo-wallstretched,expanded,3,complete,
unconstrained,geo-wallstretched,expanded,4,complete,
unconstrained,geo-wallstretched,sinusoidal,0,complete,
