run,arch,sampling,held_out,seed,epochs,batch_size,learning_rate,dataset_sha256,git_commit,git_dirty,device,wall_clock_seconds
geoaware__geo-axial__holdout-expanded__seed-00,geoaware,geo-axial,expanded,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.26356045808643
geoaware__geo-axial__holdout-expanded__seed-01,geoaware,geo-axial,expanded,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.16693204268813
geoaware__geo-axial__holdout-expanded__seed-02,geoaware,geo-axial,expanded,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.159354249946773
geoaware__geo-axial__holdout-expanded__seed-03,geoaware,geo-axial,expanded,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.18184012454003
geoaware__geo-axial__holdout-expanded__seed-04,geoaware,geo-axial,expanded,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.18991258274764
geoaware__geo-axial__holdout-hyperbolic__seed-00,geoaware,geo-axial,hyperbolic,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.089320374652743
geoaware__geo-axial__holdout-hyperbolic__seed-01,geoaware,geo-axial,hyperbolic,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.2091912496835
geoaware__geo-axial__holdout-hyperbolic__seed-02,geoaware,geo-axial,hyperbolic,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.12268470786512
geoaware__geo-axial__holdout-hyperbolic__seed-03,geoaware,geo-axial,hyperbolic,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.072637416422367
geoaware__geo-axial__holdout-hyperbolic__seed-04,geoaware,geo-axial,hyperbolic,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.24504508357495
geoaware__geo-axial__holdout-sinusoidal__seed-00,geoaware,geo-axial,sinusoidal,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.43444366659969
