geometry,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,worst_sample_idx,worst_prediction_min
expanded,newtonian,12,0.17464424359301725,0.15658163279294968,0.042133629322052,0.3812640905380249,464,-0.01439104974269867
expanded,power_law,13,0.27401382705340016,0.10515376180410385,0.07455742359161377,1.7376457452774048,11,-0.053836047649383545
hyperbolic_constriction,newtonian,11,0.16671253537589853,0.1664639264345169,0.08001101762056351,0.25176873803138733,197,-0.0115671306848526
hyperbolic_constriction,power_law,12,0.2748782529185216,0.21352622658014297,0.08997271955013275,0.6286312937736511,30,-0.008520305156707764
sinusoidal,newtonian,8,0.19134447537362576,0.19851355254650116,0.07054655998945236,0.322428435087204,76,-0.02299197018146515
sinusoidal,power_law,7,0.5844215814556394,0.3174556493759155,0.10816064476966858,1.2041163444519043,220,0.0012462586164474487
stenosed,newtonian,6,0.21420929891367754,0.22481027245521545,0.062422338873147964,0.33784937858581543,65,-0.01720745861530304
stenosed,power_law,10,0.14616965129971504,0.12622730806469917,0.052903205156326294,0.28459253907203674,97,-0.040649011731147766
straight,newtonian,10,0.11182311046868562,0.06569233536720276,0.019968247041106224,0.3416613042354584,195,-0.010524600744247437
straight,power_law,11,0.14935380762273615,0.06605161726474762,0.03120291978120804,0.6055265665054321,367,0.007233723998069763
