geometry,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,worst_sample_idx,worst_prediction_min
expanded,newtonian,12,0.14613776995489994,0.14838220924139023,0.03431626036763191,0.27219364047050476,211,0.0
expanded,power_law,13,0.17490909133966154,0.14660751819610596,0.03856677561998367,0.3689519464969635,11,0.0
hyperbolic_constriction,newtonian,11,0.12287798981097611,0.07081883400678635,0.02523479051887989,0.31894877552986145,197,0.0
hyperbolic_constriction,power_law,12,0.12415674965207775,0.09945428371429443,0.021088633686304092,0.37357237935066223,362,0.0
sinusoidal,newtonian,8,0.19194311741739511,0.19891757518053055,0.01955261081457138,0.36911091208457947,318,0.0
sinusoidal,power_law,7,0.3474794328212738,0.3139219880104065,0.1414438784122467,0.5981906056404114,126,0.0
stenosed,newtonian,6,0.12077899898091952,0.08947401493787766,0.06776067614555359,0.2321469783782959,202,0.0
stenosed,power_law,10,0.1455845519900322,0.14081965386867523,0.04228831082582474,0.24845896661281586,440,0.0
straight,newtonian,10,0.08954540882259607,0.06647219695150852,0.02202211320400238,0.23973937332630157,195,0.0
straight,power_law,11,0.1506900065155192,0.10317295044660568,0.012104921974241734,0.46454355120658875,367,0.0
