geometry,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,worst_sample_idx,worst_prediction_min
expanded,newtonian,12,0.1569790213058392,0.14858321100473404,0.052118249237537384,0.26452919840812683,36,0.0
expanded,power_law,13,0.2821700217632147,0.18410512804985046,0.08506166189908981,1.3483567237854004,11,0.0
hyperbolic_constriction,newtonian,11,0.18947183069857684,0.1719573736190796,0.10469033569097519,0.31986573338508606,197,0.0
hyperbolic_constriction,power_law,12,0.3338740759839614,0.2178601250052452,0.1078692302107811,0.9926801323890686,30,0.0
sinusoidal,newtonian,8,0.24226527381688356,0.2392873838543892,0.0821063369512558,0.3576779067516327,172,0.0
sinusoidal,power_law,7,0.7284107399838311,0.5747476816177368,0.15303532779216766,1.3277384042739868,220,0.0
stenosed,newtonian,6,0.20261950542529425,0.2036750763654709,0.0932583212852478,0.2889038622379303,495,0.0
stenosed,power_law,10,0.24122558459639548,0.20565371215343475,0.1154390498995781,0.3794642984867096,499,0.0
straight,newtonian,10,0.09427580796182156,0.08049550652503967,0.028811700642108917,0.239040344953537,195,0.0
straight,power_law,11,0.126016939566894,0.09432550519704819,0.026851560920476913,0.38159677386283875,192,0.0
