geometry,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,worst_sample_idx,worst_prediction_min
expanded,newtonian,12,0.17608944388727346,0.178029365837574,0.07738262414932251,0.32081177830696106,104,0.0
expanded,power_law,13,0.19867856055498123,0.19304567575454712,0.07939805835485458,0.5132055282592773,11,0.0
hyperbolic_constriction,newtonian,11,0.18348475274714557,0.14680372178554535,0.09473977237939835,0.41006529331207275,197,0.0
hyperbolic_constriction,power_law,12,0.20614189468324184,0.16364318132400513,0.1047881469130516,0.5104747414588928,362,0.0
sinusoidal,newtonian,8,0.2205841988325119,0.23862521350383759,0.08694495260715485,0.3250478208065033,199,0.0
sinusoidal,power_law,7,0.46668791132313864,0.4092414677143097,0.12333233654499054,1.0394458770751953,126,0.0
stenosed,newtonian,6,0.21530998746554056,0.23844821751117706,0.14720678329467773,0.26107504963874817,495,0.0
stenosed,power_law,10,0.21745133101940156,0.2408696711063385,0.1253766566514969,0.3309589922428131,440,0.0
straight,newtonian,10,0.09077521609142422,0.053209973499178886,0.013577616773545742,0.275343656539917,195,0.0
straight,power_law,11,0.14595898943529886,0.1013738289475441,0.0044535500928759575,0.39936694502830505,367,0.0
