arch,sampling,holdout,fluid_model,n_seeds,mean_l2,mean_l2_seed_std,median_l2,median_l2_seed_std,max_l2,max_l2_seed_std,negative_rate_mean,negative_rate_seed_std
geoaware,geo-axial,expanded,newtonian,5,0.17688737,0.02312415,0.14459016,0.02260256,0.65121363,0.14499489,0.00000000,0.00000000
geoaware,geo-axial,expanded,power_law,5,0.26500430,0.01291311,0.15046908,0.01617758,1.54031129,0.37662498,0.00000000,0.00000000
geoaware,geo-axial,hyperbolic,newtonian,5,0.10435816,0.00704948,0.09100207,0.00652297,0.36497504,0.03193885,0.00000000,0.00000000
geoaware,geo-axial,hyperbolic,power_law,5,0.17231493,0.00587880,0.14428722,0.01532070,0.48858111,0.04209456,0.00000000,0.00000000
geoaware,geo-axial,sinusoidal,newtonian,5,0.22270641,0.05928861,0.18746237,0.03850902,0.94992293,0.28718322,0.00000000,0.00000000
geoaware,geo-axial,sinusoidal,power_law,5,0.29883249,0.04835970,0.19968782,0.03930869,1.56167963,0.60655614,0.00000000,0.00000000
geoaware,geo-axial,stenosed,newtonian,5,0.12011075,0.01347766,0.09728647,0.01492604,0.31700848,0.05309954,0.00000000,0.00000000
geoaware,geo-axial,stenosed,power_law,5,0.18504376,0.01049217,0.12957160,0.01568828,1.17340677,0.15355911,0.00000000,0.00000000
geoaware,geo-axial,straight,newtonian,5,0.07343402,0.00609371,0.05501330,0.01193763,0.23637244,0.02638200,0.00000000,0.00000000
geoaware,geo-axial,straight,power_law,5,0.12236137,0.00519766,0.09337276,0.01346045,0.42598435,0.03145883,0.00000000,0.00000000
geoaware,geo-wallstretched,expanded,newtonian,5,0.16763107,0.02106386,0.13667792,0.02005390,0.61647822,0.11413523,0.00000000,0.00000000
geoaware,geo-wallstretched,expanded,power_law,5,0.25305145,0.01283016,0.15127000,0.02632833,1.48570516,0.40374359,0.00000000,0.00000000
geoaware,geo-wallstretched,hyperbolic,newtonian,5,0.10575461,0.00463168,0.09031572,0.01102934,0.37080990,0.01947296,0.00000000,0.00000000
geoaware,geo-wallstretched,hyperbolic,power_law,5,0.17310867,0.00532043,0.14455535,0.01178121,0.51193649,0.04186724,0.00000000,0.00000000
geoaware,geo-wallstretched,sinusoidal,newtonian,5,0.22562529,0.06141778,0.18181352,0.04547043,0.94355412,0.28540884,0.00000000,0.00000000
geoaware,geo-wallstretched,sinusoidal,power_law,5,0.30260138,0.04983831,0.20205266,0.03299232,1.53546996,0.60706009,0.00000000,0.00000000
geoaware,geo-wallstretched,stenosed,newtonian,5,0.11276500,0.00918397,0.09462769,0.00674426,0.33381475,0.05117166,0.00000000,0.00000000
geoaware,geo-wallstretched,stenosed,power_law,5,0.17141833,0.01432192,0.10733814,0.00952396,1.06423371,0.24817146,0.00000000,0.00000000
geoaware,geo-wallstretched,straight,newtonian,5,0.07674419,0.00782013,0.05631907,0.01174268,0.25796907,0.02207908,0.00000000,0.00000000
geoaware,geo-wallstretched,straight,power_law,5,0.12501548,0.00202476,0.09776997,0.00294443,0.43009222,0.04079636,0.00000000,0.00000000
geoaware,uniform,expanded,newtonian,5,0.17904265,0.03033732,0.14159693,0.02563016,0.65145792,0.14632587,0.00000000,0.00000000
