model,model_key,sample_idx,geometry,fluid_model,relative_l2,target_max,prediction_min,prediction_max,has_negative_prediction
Unconstrained,unconstrained,3,sinusoidal,newtonian,2.7704856395721436,0.19442060589790344,0.10812097787857056,0.5599806904792786,False
Unconstrained,unconstrained,4,sinusoidal,power_law,0.21898026764392853,0.3264071047306061,-0.014448394998908043,0.3122583329677582,True
Unconstrained,unconstrained,5,sinusoidal,newtonian,0.25976210832595825,0.3597378730773926,-0.0028854755219072104,0.4172583520412445,True
Unconstrained,unconstrained,7,sinusoidal,power_law,0.17454293370246887,0.17870374023914337,-0.016043568029999733,0.22808542847633362,True
Unconstrained,unconstrained,16,sinusoidal,newtonian,0.18633683025836945,0.21692927181720734,1.7893451513373293e-05,0.1628035306930542,False
Unconstrained,unconstrained,18,sinusoidal,newtonian,0.07868293672800064,0.5584400296211243,0.008078958839178085,0.5225628018379211,False
Unconstrained,unconstrained,22,sinusoidal,power_law,0.6072556972503662,0.37664663791656494,-0.09760905057191849,0.17507115006446838,True
Unconstrained,unconstrained,23,sinusoidal,newtonian,0.14224141836166382,0.17399682104587555,-0.007700114976614714,0.23027987778186798,True
Unconstrained,unconstrained,44,sinusoidal,newtonian,0.36686280369758606,0.16840219497680664,0.06379559636116028,0.12742875516414642,False
Unconstrained,unconstrained,48,sinusoidal,newtonian,0.5673965811729431,0.5810426473617554,0.02364100143313408,0.6842765212059021,False
Unconstrained,unconstrained,52,sinusoidal,newtonian,0.6639148592948914,0.19962646067142487,-0.06500521302223206,0.3066196143627167,True
Unconstrained,unconstrained,58,sinusoidal,newtonian,0.10023520141839981,0.4834921658039093,0.003127533942461014,0.4660758078098297,False
Unconstrained,unconstrained,69,sinusoidal,newtonian,0.2593468427658081,0.549751877784729,0.08902710676193237,0.3901784121990204,False
Unconstrained,unconstrained,72,sinusoidal,power_law,0.6584530472755432,0.4354799687862396,0.0009689755388535559,0.5577065348625183,False
Unconstrained,unconstrained,76,sinusoidal,newtonian,0.10661591589450836,0.24829936027526855,-0.0006632421864196658,0.23285947740077972,True
Unconstrained,unconstrained,92,sinusoidal,newtonian,0.29717063903808594,0.7202280759811401,0.0017827322008088231,0.4449567496776581,False
Unconstrained,unconstrained,96,sinusoidal,power_law,1.1945773363113403,0.029393373057246208,-0.022085314616560936,0.019100796431303024,True
Unconstrained,unconstrained,114,sinusoidal,power_law,1.2478147745132446,0.2571200728416443,-0.12019731104373932,0.018323402851819992,True
Unconstrained,unconstrained,117,sinusoidal,power_law,0.3915361762046814,0.31872090697288513,-0.01082560047507286,0.43828698992729187,True
