model,model_key,sample_idx,geometry,fluid_model,relative_l2,target_max,prediction_min,prediction_max,has_negative_prediction
Power-law-aware,power_law_aware,3,sinusoidal,newtonian,1.5505461692810059,0.19442060589790344,0.0,0.3576567769050598,False
Power-law-aware,power_law_aware,4,sinusoidal,power_law,0.1521160900592804,0.3264071047306061,0.0,0.3367024064064026,False
Power-law-aware,power_law_aware,5,sinusoidal,newtonian,0.18799510598182678,0.3597378730773926,0.0,0.4332953691482544,False
Power-law-aware,power_law_aware,7,sinusoidal,power_law,0.1259668916463852,0.17870374023914337,0.0,0.17175570130348206,False
Power-law-aware,power_law_aware,16,sinusoidal,newtonian,0.260333776473999,0.21692927181720734,0.0,0.14672574400901794,False
Power-law-aware,power_law_aware,18,sinusoidal,newtonian,0.05391518399119377,0.5584400296211243,0.0,0.5720242857933044,False
Power-law-aware,power_law_aware,22,sinusoidal,power_law,0.2183626890182495,0.37664663791656494,0.0,0.2758064270019531,False
Power-law-aware,power_law_aware,23,sinusoidal,newtonian,0.12718535959720612,0.17399682104587555,0.0,0.17865301668643951,False
Power-law-aware,power_law_aware,44,sinusoidal,newtonian,0.32110631465911865,0.16840219497680664,0.0,0.10773847252130508,False
Power-law-aware,power_law_aware,48,sinusoidal,newtonian,0.27301716804504395,0.5810426473617554,0.0,0.5507462620735168,False
Power-law-aware,power_law_aware,52,sinusoidal,newtonian,0.5118916630744934,0.19962646067142487,0.0,0.2419651448726654,False
Power-law-aware,power_law_aware,58,sinusoidal,newtonian,0.10005483776330948,0.4834921658039093,0.0,0.42798087000846863,False
Power-law-aware,power_law_aware,69,sinusoidal,newtonian,0.4148818552494049,0.549751877784729,0.0,0.28808262944221497,False
Power-law-aware,power_law_aware,72,sinusoidal,power_law,0.47729650139808655,0.4354799687862396,0.0,0.49162060022354126,False
Power-law-aware,power_law_aware,76,sinusoidal,newtonian,0.25181373953819275,0.24829936027526855,0.0,0.17545293271541595,False
Power-law-aware,power_law_aware,92,sinusoidal,newtonian,0.33045580983161926,0.7202280759811401,0.0,0.41861385107040405,False
Power-law-aware,power_law_aware,96,sinusoidal,power_law,0.7986637353897095,0.029393373057246208,0.0,0.04275624081492424,False
Power-law-aware,power_law_aware,114,sinusoidal,power_law,0.44686877727508545,0.2571200728416443,0.0,0.12373899668455124,False
Power-law-aware,power_law_aware,117,sinusoidal,power_law,0.5725759267807007,0.31872090697288513,0.0,0.460901141166687,False
Power-law-aware,power_law_aware,122,sinusoidal,newtonian,0.15534991025924683,0.17930381000041962,0.0,0.14841216802597046,False
Power-law-aware,power_law_aware,126,sinusoidal,power_law,1.4353852272033691,0.2550314664840698,0.0,0.48259806632995605,False
Power-law-aware,power_law_aware,129,sinusoidal,newtonian,0.11282224953174591,0.1746830940246582,0.0,0.15283064544200897,False
Power-law-aware,power_law_aware,134,sinusoidal,power_law,0.4722210168838501,0.30219802260398865,0.0,0.4090728163719177,False
Power-law-aware,power_law_aware,136,sinusoidal,newtonian,0.2270805537700653,0.3432188034057617,0.0,0.2773599922657013,False
Power-law-aware,power_law_aware,145,sinusoidal,newtonian,0.08168578147888184,0.22872015833854675,0.0,0.2303193062543869,False
Power-law-aware,power_law_aware,146,sinusoidal,power_law,0.15612958371639252,0.7369264960289001,0.0,0.7194037437438965,False
Power-law-aware,power_law_aware,148,sinusoidal,newtonian,0.09096899628639221,0.5448064804077148,0.0,0.6091228127479553,False
Power-law-aware,power_law_aware,149,sinusoidal,power_law,0.3340255618095398,0.8191092014312744,0.0,0.4681301414966583,False
Power-law-aware,power_law_aware,150,sinusoidal,power_law,0.20350810885429382,0.23493704199790955,0.0,0.1814623922109604,False
Power-law-aware,power_law_aware,151,sinusoidal,newtonian,0.38325464725494385,0.19582059979438782,0.0,0.10397882759571075,False
Power-law-aware,power_law_aware,160,sinusoidal,newtonian,0.0846550315618515,0.23550225794315338,0.0,0.2716643810272217,False
Power-law-aware,power_law_aware,163,sinusoidal,power_law,0.20045626163482666,0.27110594511032104,0.0,0.28915339708328247,False
Power-law-aware,power_law_aware,165,sinusoidal,power_law,0.15785378217697144,0.30861523747444153,0.0,0.2739971876144409,False
Power-law-aware,power_law_aware,170,sinusoidal,power_law,0.107138492166996,0.22011563181877136,0.0,0.19346101582050323,False
Power-law-aware,power_law_aware,172,sinusoidal,newtonian,0.326332688331604,0.08246850967407227,0.0,0.05708955600857735,False
Power-law-aware,power_law_aware,174,sinusoidal,newtonian,0.26283854246139526,0.35930338501930237,0.0,0.23977236449718475,False
Power-law-aware,power_law_aware,196,sinusoidal,power_law,0.2952161133289337,0.48241329193115234,0.0,0.313917338848114,False
Power-law-aware,power_law_aware,199,sinusoidal,newtonian,0.22339145839214325,0.09800326079130173,0.0,0.08644971996545792,False
Power-law-aware,power_law_aware,205,sinusoidal,newtonian,0.06653959304094315,0.31824955344200134,0.0,0.3118842840194702,False
Power-law-aware,power_law_aware,209,sinusoidal,power_law,0.5917626619338989,0.05162109434604645,0.0,0.0997065082192421,False
Power-law-aware,power_law_aware,212,sinusoidal,power_law,0.6146394610404968,0.04108118638396263,0.0,0.05168449878692627,False
Power-law-aware,power_law_aware,213,sinusoidal,newtonian,0.16056376695632935,0.2424718290567398,0.0,0.1961831897497177,False
Power-law-aware,power_law_aware,218,sinusoidal,newtonian,0.39684993028640747,0.45421215891838074,0.0,0.25400227308273315,False
Power-law-aware,power_law_aware,219,sinusoidal,power_law,0.5060609579086304,0.09955015033483505,0.0,0.04261614754796028,False
Power-law-aware,power_law_aware,220,sinusoidal,power_law,1.9493464231491089,0.05283971130847931,0.0,0.12478024512529373,False
Power-law-aware,power_law_aware,222,sinusoidal,newtonian,0.11467406898736954,0.25374525785446167,0.0,0.29586952924728394,False
Power-law-aware,power_law_aware,224,sinusoidal,power_law,0.16846400499343872,0.23922835290431976,0.0,0.18623442947864532,False
Power-law-aware,power_law_aware,227,sinusoidal,power_law,0.2401660978794098,0.35903024673461914,0.0,0.2527785897254944,False
Power-law-aware,power_law_aware,233,sinusoidal,newtonian,0.6635850667953491,0.19573628902435303,0.0,0.24251475930213928,False
Power-law-aware,power_law_aware,245,sinusoidal,newtonian,0.275158166885376,0.1819748431444168,0.0,0.16292929649353027,False
Power-law-aware,power_law_aware,249,sinusoidal,newtonian,0.10129357874393463,0.6667985320091248,0.0,0.6302818059921265,False
Power-law-aware,power_law_aware,254,sinusoidal,newtonian,0.09843695908784866,0.32281363010406494,0.0,0.37251079082489014,False
Power-law-aware,power_law_aware,261,sinusoidal,newtonian,0.14114654064178467,0.953031599521637,0.0,0.811733603477478,False
Power-law-aware,power_law_aware,262,sinusoidal,newtonian,0.16110295057296753,0.37255948781967163,0.0,0.43335428833961487,False
Power-law-aware,power_law_aware,264,sinusoidal,power_law,0.24736884236335754,0.45829418301582336,0.0,0.3277606964111328,False
Power-law-aware,power_law_aware,266,sinusoidal,power_law,0.3802548944950104,0.0951462984085083,0.0,0.05252598598599434,False
Power-law-aware,power_law_aware,267,sinusoidal,newtonian,0.36990514397621155,0.2510928809642792,0.0,0.2948332726955414,False
Power-law-aware,power_law_aware,282,sinusoidal,power_law,0.0734136700630188,0.213345468044281,0.0,0.19571591913700104,False
Power-law-aware,power_law_aware,284,sinusoidal,power_law,0.17018136382102966,0.28798165917396545,0.0,0.22378796339035034,False
Power-law-aware,power_law_aware,289,sinusoidal,power_law,0.23442420363426208,0.35314053297042847,0.0,0.24038979411125183,False
Power-law-aware,power_law_aware,290,sinusoidal,power_law,0.28750044107437134,0.6908345818519592,0.0,0.43498843908309937,False
Power-law-aware,power_law_aware,297,sinusoidal,power_law,0.16613128781318665,0.7806947231292725,0.0,0.6061673164367676,False
Power-law-aware,power_law_aware,303,sinusoidal,newtonian,0.4138046205043793,0.20553143322467804,0.0,0.34721967577934265,False
Power-law-aware,power_law_aware,306,sinusoidal,power_law,0.5986497402191162,0.0773938000202179,0.0,0.1420430988073349,False
Power-law-aware,power_law_aware,307,sinusoidal,newtonian,0.08720370382070541,0.24177706241607666,0.0,0.23389992117881775,False
Power-law-aware,power_law_aware,312,sinusoidal,power_law,0.3136249780654907,0.2984110116958618,0.0,0.19322237372398376,False
Power-law-aware,power_law_aware,314,sinusoidal,power_law,0.3949746787548065,0.261457234621048,0.0,0.3177618384361267,False
Power-law-aware,power_law_aware,318,sinusoidal,newtonian,0.3370177149772644,0.31523147225379944,0.0,0.2874547839164734,False
Power-law-aware,power_law_aware,320,sinusoidal,power_law,0.2088657170534134,0.9133955836296082,0.0,0.8147763609886169,False
Power-law-aware,power_law_aware,323,sinusoidal,power_law,0.8114936947822571,0.38779664039611816,0.0,0.5004286170005798,False
Power-law-aware,power_law_aware,331,sinusoidal,power_law,0.18438518047332764,0.08944608271121979,0.0,0.07606127113103867,False
Power-law-aware,power_law_aware,352,sinusoidal,power_law,0.24775873124599457,0.6843958497047424,0.0,0.4620659649372101,False
Power-law-aware,power_law_aware,358,sinusoidal,newtonian,0.20457300543785095,0.1883573979139328,0.0,0.14557424187660217,False
Power-law-aware,power_law_aware,366,sinusoidal,newtonian,0.10824406892061234,0.26343202590942383,0.0,0.24792568385601044,False
Power-law-aware,power_law_aware,371,sinusoidal,power_law,0.250052809715271,0.18076668679714203,0.0,0.14886610209941864,False
Power-law-aware,power_law_aware,381,sinusoidal,newtonian,0.30383098125457764,0.36557167768478394,0.0,0.2337101399898529,False
Power-law-aware,power_law_aware,386,sinusoidal,power_law,0.14017736911773682,0.1992417722940445,0.0,0.1774175614118576,False
Power-law-aware,power_law_aware,398,sinusoidal,newtonian,0.863438606262207,0.41800808906555176,0.0,0.5287129878997803,False
Power-law-aware,power_law_aware,401,sinusoidal,power_law,0.19600500166416168,0.1430584192276001,0.0,0.11088045686483383,False
Power-law-aware,power_law_aware,405,sinusoidal,newtonian,0.3803321123123169,0.1322673261165619,0.0,0.07342303544282913,False
Power-law-aware,power_law_aware,406,sinusoidal,power_law,0.39004042744636536,0.22641345858573914,0.0,0.115211121737957,False
Power-law-aware,power_law_aware,408,sinusoidal,newtonian,0.028846977278590202,0.257407546043396,0.0,0.28123289346694946,False
Power-law-aware,power_law_aware,409,sinusoidal,newtonian,0.19210274517536163,0.16433367133140564,0.0,0.1310853660106659,False
Power-law-aware,power_law_aware,412,sinusoidal,power_law,0.16883714497089386,0.5959109663963318,0.0,0.567669153213501,False
Power-law-aware,power_law_aware,425,sinusoidal,newtonian,0.18581895530223846,0.6420634984970093,0.0,0.7812404632568359,False
Power-law-aware,power_law_aware,430,sinusoidal,newtonian,0.22230787575244904,0.8247166872024536,0.0,0.5899584293365479,False
Power-law-aware,power_law_aware,434,sinusoidal,newtonian,0.3781103491783142,0.9798305034637451,0.0,0.5168247222900391,False
Power-law-aware,power_law_aware,439,sinusoidal,power_law,0.3091770112514496,0.15902796387672424,0.0,0.10853008925914764,False
Power-law-aware,power_law_aware,446,sinusoidal,power_law,0.1758154332637787,0.07420922815799713,0.0,0.10411673039197922,False
Power-law-aware,power_law_aware,449,sinusoidal,newtonian,0.040450580418109894,0.3539677560329437,0.0,0.34527069330215454,False
Power-law-aware,power_law_aware,452,sinusoidal,newtonian,0.14745143055915833,0.46912193298339844,0.0,0.47014665603637695,False
Power-law-aware,power_law_aware,453,sinusoidal,power_law,0.1481788158416748,0.0862155482172966,0.0,0.09547100216150284,False
Power-law-aware,power_law_aware,461,sinusoidal,newtonian,0.11446471512317657,0.31964343786239624,0.0,0.28693047165870667,False
Power-law-aware,power_law_aware,466,sinusoidal,newtonian,0.46555331349372864,0.23015978932380676,0.0,0.252287358045578,False
Power-law-aware,power_law_aware,467,sinusoidal,newtonian,0.14067797362804413,0.24098718166351318,0.0,0.20187388360500336,False
Power-law-aware,power_law_aware,477,sinusoidal,power_law,0.19946005940437317,0.23380228877067566,0.0,0.2084486037492752,False
Power-law-aware,power_law_aware,480,sinusoidal,power_law,0.17560148239135742,0.18271684646606445,0.0,0.17121802270412445,False
