model,model_key,sample_idx,geometry,fluid_model,relative_l2,target_max,prediction_min,prediction_max,has_negative_prediction
Unconstrained,unconstrained,6,stenosed,power_law,0.4316091239452362,0.18993061780929565,-0.03287548944354057,0.16602164506912231,True
Unconstrained,unconstrained,15,stenosed,power_law,0.5037874579429626,0.10390020161867142,-0.037300895899534225,0.12792840600013733,True
Unconstrained,unconstrained,20,stenosed,newtonian,0.28713110089302063,0.31149640679359436,-0.059829048812389374,0.21580739319324493,True
Unconstrained,unconstrained,24,stenosed,power_law,0.40072664618492126,0.18241937458515167,-0.011271022260189056,0.21248804032802582,True
Unconstrained,unconstrained,26,stenosed,power_law,1.187750220298767,0.03489844128489494,-0.005709979683160782,0.09178589284420013,True
Unconstrained,unconstrained,37,stenosed,newtonian,0.09824720770120621,0.3832502067089081,-0.02238607406616211,0.32215821743011475,True
Unconstrained,unconstrained,42,stenosed,power_law,0.24643713235855103,0.5056843757629395,-0.04068385437130928,0.3687685430049896,True
Unconstrained,unconstrained,45,stenosed,power_law,0.22346442937850952,0.3203822076320648,-0.04889822378754616,0.21753375232219696,True
Unconstrained,unconstrained,53,stenosed,power_law,0.08844266831874847,0.2407081127166748,-0.015192690305411816,0.22698621451854706,True
Unconstrained,unconstrained,54,stenosed,newtonian,0.2624254822731018,0.30646172165870667,-0.06980733573436737,0.1975046992301941,True
Unconstrained,unconstrained,61,stenosed,power_law,1.9800047874450684,0.07840483635663986,-0.11961144208908081,-0.005455831065773964,True
Unconstrained,unconstrained,65,stenosed,newtonian,0.5565810203552246,0.1852255016565323,-0.05095251649618149,0.20585879683494568,True
Unconstrained,unconstrained,71,stenosed,power_law,0.12725627422332764,0.24869462847709656,-0.024159947410225868,0.22043077647686005,True
Unconstrained,unconstrained,73,stenosed,newtonian,0.8112875819206238,0.13182717561721802,-0.06734518706798553,0.06320104748010635,True
Unconstrained,unconstrained,77,stenosed,newtonian,0.20936046540737152,0.4775855243206024,-0.04880990460515022,0.34107232093811035,True
Unconstrained,unconstrained,78,stenosed,power_law,0.15337160229682922,0.3216326832771301,-0.023763947188854218,0.24151214957237244,True
Unconstrained,unconstrained,82,stenosed,newtonian,0.4018123149871826,0.247169628739357,-0.0532153844833374,0.22896941006183624,True
Unconstrained,unconstrained,87,stenosed,power_law,0.13616403937339783,0.47382158041000366,-0.010740546509623528,0.3538656532764435,True
Unconstrained,unconstrained,94,stenosed,power_law,0.16384102404117584,0.5541423559188843,0.002904028631746769,0.40888896584510803,False
Unconstrained,unconstrained,97,stenosed,power_law,0.421347439289093,0.2563612461090088,-0.019482675939798355,0.20162054896354675,True
Unconstrained,unconstrained,98,stenosed,newtonian,0.3568054437637329,0.1589387208223343,-0.04800158366560936,0.1895023137331009,True
Unconstrained,unconstrained,100,stenosed,newtonian,0.45858922600746155,0.18762505054473877,-0.073693186044693,0.11869536340236664,True
Unconstrained,unconstrained,102,stenosed,newtonian,0.4149464964866638,0.21899132430553436,-0.043765589594841,0.2084120362997055,True
Unconstrained,unconstrained,103,stenosed,power_law,0.7306479811668396,0.10303106904029846,-0.06352559477090836,0.09973187744617462,True
Unconstrained,unconstrained,108,stenosed,newtonian,0.23507912456989288,0.3177022933959961,-0.027691788971424103,0.2653947174549103,True
Unconstrained,unconstrained,111,stenosed,newtonian,0.16994963586330414,0.13000886142253876,-0.011149303987622261,0.13072970509529114,True
Unconstrained,unconstrained,116,stenosed,power_law,0.32305529713630676,0.31105664372444153,-0.03489421680569649,0.20129996538162231,True
Unconstrained,unconstrained,128,stenosed,newtonian,0.17532843351364136,0.17661724984645844,-0.04125365614891052,0.1644197404384613,True
Unconstrained,unconstrained,131,stenosed,newtonian,0.16991713643074036,0.14683577418327332,-0.024526003748178482,0.13344669342041016,True
Unconstrained,unconstrained,138,stenosed,power_law,0.3274756968021393,0.12682314217090607,-0.009736117906868458,0.13218766450881958,True
Unconstrained,unconstrained,158,stenosed,newtonian,0.19981056451797485,0.6660942435264587,-0.025342149659991264,0.42743176221847534,True
Unconstrained,unconstrained,161,stenosed,power_law,0.17023110389709473,0.16039791703224182,-0.01989973522722721,0.15747854113578796,True
Unconstrained,unconstrained,164,stenosed,power_law,0.3704544007778168,0.21480852365493774,-0.032265421003103256,0.18317991495132446,True
Unconstrained,unconstrained,171,stenosed,power_law,0.21386288106441498,0.2999779284000397,-0.04205526039004326,0.20160908997058868,True
Unconstrained,unconstrained,175,stenosed,power_law,0.1209857165813446,0.30359014868736267,-0.0009712488972581923,0.2903693914413452,True
Unconstrained,unconstrained,178,stenosed,newtonian,0.376748263835907,0.18235158920288086,-0.045652713626623154,0.1325475126504898,True
Unconstrained,unconstrained,182,stenosed,newtonian,0.16902080178260803,0.2790553569793701,-0.02292764000594616,0.21332620084285736,True
Unconstrained,unconstrained,187,stenosed,newtonian,0.4007909297943115,0.24171507358551025,-0.045377325266599655,0.2064514011144638,True
Unconstrained,unconstrained,189,stenosed,power_law,0.14280781149864197,0.6395320892333984,0.005620595999062061,0.5073708891868591,False
Unconstrained,unconstrained,202,stenosed,newtonian,0.5684850215911865,0.0704222172498703,-0.025221336632966995,0.08068891614675522,True
Unconstrained,unconstrained,203,stenosed,power_law,9.614127159118652,0.01588130183517933,-0.19782857596874237,0.026249676942825317,True
Unconstrained,unconstrained,217,stenosed,newtonian,0.2605989873409271,0.19278451800346375,-0.013240551576018333,0.13846346735954285,True
Unconstrained,unconstrained,236,stenosed,power_law,1.531196117401123,0.03110150247812271,-0.08822960406541824,0.03485553711652756,True
Unconstrained,unconstrained,237,stenosed,power_law,0.25435781478881836,0.11640393733978271,-0.02130342461168766,0.1046970784664154,True
Unconstrained,unconstrained,242,stenosed,power_law,0.3205140233039856,0.2195250391960144,-0.030286230146884918,0.1381620466709137,True
Unconstrained,unconstrained,243,stenosed,newtonian,0.4605877697467804,0.2311205118894577,-0.05859365686774254,0.133229598402977,True
Unconstrained,unconstrained,251,stenosed,power_law,0.37131163477897644,0.055702053010463715,-0.012829420156776905,0.06828436255455017,True
Unconstrained,unconstrained,257,stenosed,power_law,0.4999246597290039,0.15747174620628357,-0.0596034899353981,0.11100059002637863,True
Unconstrained,unconstrained,258,stenosed,newtonian,0.07520230859518051,0.4138687252998352,-0.012556749396026134,0.3540634214878082,True
Unconstrained,unconstrained,263,stenosed,newtonian,0.21634094417095184,0.6222172975540161,-0.035606518387794495,0.4102925956249237,True
Unconstrained,unconstrained,269,stenosed,newtonian,0.4685631990432739,0.31209132075309753,-0.03414355590939522,0.2757103741168976,True
Unconstrained,unconstrained,275,stenosed,power_law,0.10879840701818466,0.21599698066711426,-0.014145927503705025,0.2125423699617386,True
Unconstrained,unconstrained,276,stenosed,power_law,0.76823490858078,0.036351196467876434,-0.030040163546800613,0.05046385899186134,True
Unconstrained,unconstrained,280,stenosed,power_law,0.11705909669399261,0.5762979984283447,0.016512487083673477,0.46774131059646606,False
Unconstrained,unconstrained,281,stenosed,newtonian,0.2917883098125458,0.46730494499206543,-0.05030488222837448,0.25835686922073364,True
Unconstrained,unconstrained,294,stenosed,power_law,0.21973511576652527,0.1820114254951477,-0.028617482632398605,0.14228951930999756,True
Unconstrained,unconstrained,301,stenosed,power_law,0.11035468429327011,0.3895609676837921,-0.002697338815778494,0.3320547044277191,True
Unconstrained,unconstrained,304,stenosed,power_law,0.3112432062625885,0.2273600995540619,-0.016486547887325287,0.2384302169084549,True
Unconstrained,unconstrained,308,stenosed,power_law,0.1502055674791336,0.34018123149871826,-0.025357618927955627,0.247932568192482,True
Unconstrained,unconstrained,309,stenosed,newtonian,0.1950751096010208,0.28187820315361023,-0.03232213854789734,0.2001025229692459,True
Unconstrained,unconstrained,325,stenosed,power_law,0.14315368235111237,0.41913294792175293,-0.025682121515274048,0.3065642714500427,True
Unconstrained,unconstrained,326,stenosed,power_law,0.27279216051101685,0.33589038252830505,-0.043065138161182404,0.21256029605865479,True
Unconstrained,unconstrained,336,stenosed,newtonian,0.13705040514469147,0.38732486963272095,-0.014815226197242737,0.2824612259864807,True
Unconstrained,unconstrained,340,stenosed,power_law,0.16068138182163239,0.3061797022819519,-0.038482990115880966,0.2235110104084015,True
Unconstrained,unconstrained,343,stenosed,newtonian,0.17690043151378632,0.20634514093399048,-0.024734869599342346,0.16474692523479462,True
Unconstrained,unconstrained,344,stenosed,power_law,0.38142773509025574,1.2739533185958862,-0.004056456498801708,0.5715507864952087,True
Unconstrained,unconstrained,357,stenosed,newtonian,0.6008317470550537,0.14829003810882568,-0.0714053064584732,0.08853764086961746,True
Unconstrained,unconstrained,360,stenosed,power_law,0.19596053659915924,0.1229458600282669,-0.005151562392711639,0.14072392880916595,True
Unconstrained,unconstrained,364,stenosed,power_law,0.3997582495212555,0.2110220491886139,-0.062058914452791214,0.21492445468902588,True
Unconstrained,unconstrained,365,stenosed,power_law,0.25771453976631165,0.2113565057516098,-0.04032422974705696,0.2043442279100418,True
Unconstrained,unconstrained,370,stenosed,power_law,0.5306286811828613,0.15849542617797852,-0.024279778823256493,0.19731377065181732,True
Unconstrained,unconstrained,374,stenosed,power_law,0.1607007086277008,0.1784563511610031,-0.02453584037721157,0.1599903404712677,True
Unconstrained,unconstrained,375,stenosed,power_law,0.058488618582487106,0.35255905985832214,-0.011029268614947796,0.3088580369949341,True
Unconstrained,unconstrained,388,stenosed,newtonian,0.09651104360818863,0.26177138090133667,-0.02308780513703823,0.23034422099590302,True
Unconstrained,unconstrained,390,stenosed,power_law,0.153305783867836,0.09205319732427597,-0.009094459936022758,0.08927406370639801,True
Unconstrained,unconstrained,396,stenosed,power_law,0.6465011835098267,0.14204350113868713,-0.0657818615436554,0.060081321746110916,True
Unconstrained,unconstrained,410,stenosed,power_law,0.6099940538406372,0.13322284817695618,-0.05043552443385124,0.18047620356082916,True
Unconstrained,unconstrained,411,stenosed,newtonian,0.19129900634288788,0.49784645438194275,-0.02863387018442154,0.32737860083580017,True
Unconstrained,unconstrained,429,stenosed,newtonian,0.5782415270805359,0.2019571214914322,-0.049672920256853104,0.22395862638950348,True
Unconstrained,unconstrained,435,stenosed,power_law,0.19768330454826355,0.1853305697441101,-0.013495955616235733,0.1971568465232849,True
Unconstrained,unconstrained,437,stenosed,power_law,0.412784606218338,0.15630967915058136,-0.029309451580047607,0.19386668503284454,True
Unconstrained,unconstrained,440,stenosed,power_law,0.1188923642039299,0.27438923716545105,-0.04557282105088234,0.23417143523693085,True
Unconstrained,unconstrained,442,stenosed,power_law,0.2522191107273102,0.11980962008237839,-0.009184572845697403,0.12552550435066223,True
Unconstrained,unconstrained,445,stenosed,newtonian,0.2846777141094208,0.49593400955200195,-0.0479959137737751,0.279549777507782,True
Unconstrained,unconstrained,457,stenosed,newtonian,0.20329274237155914,0.7523558139801025,-0.0020681070163846016,0.4825873076915741,True
Unconstrained,unconstrained,459,stenosed,newtonian,0.06416171044111252,0.2169812172651291,-0.0192152988165617,0.1971116065979004,True
Unconstrained,unconstrained,468,stenosed,newtonian,0.2469155192375183,0.3065741956233978,-0.0386873334646225,0.2705821096897125,True
Unconstrained,unconstrained,472,stenosed,newtonian,0.12933513522148132,0.4330194890499115,-0.022937333211302757,0.3521972894668579,True
Unconstrained,unconstrained,487,stenosed,power_law,0.9483993053436279,0.04423404857516289,-0.037082489579916,0.07298068702220917,True
Unconstrained,unconstrained,491,stenosed,power_law,0.35917899012565613,0.13357144594192505,-0.046937245875597,0.12664340436458588,True
Unconstrained,unconstrained,492,stenosed,newtonian,0.14631591737270355,0.42062586545944214,-0.022765226662158966,0.34361886978149414,True
Unconstrained,unconstrained,494,stenosed,power_law,0.21896685659885406,0.3945819139480591,-0.00919136218726635,0.2956882417201996,True
Unconstrained,unconstrained,495,stenosed,newtonian,0.2982140779495239,0.5894549489021301,-0.02977464534342289,0.33697301149368286,True
Unconstrained,unconstrained,499,stenosed,power_law,0.30740997195243835,0.23660391569137573,-0.03699777275323868,0.19783595204353333,True
Power-law-aware,power_law_aware,6,stenosed,power_law,0.4561779797077179,0.18993061780929565,0.0,0.16689102351665497,False
Power-law-aware,power_law_aware,15,stenosed,power_law,0.2623600959777832,0.10390020161867142,0.0,0.06190003827214241,False
Power-law-aware,power_law_aware,20,stenosed,newtonian,0.29556143283843994,0.31149640679359436,0.0,0.22424130141735077,False
Power-law-aware,power_law_aware,24,stenosed,power_law,0.11154045164585114,0.18241937458515167,0.0,0.15091298520565033,False
Power-law-aware,power_law_aware,26,stenosed,power_law,0.2610662877559662,0.03489844128489494,0.0,0.023429790511727333,False
Power-law-aware,power_law_aware,37,stenosed,newtonian,0.08633198589086533,0.3832502067089081,0.0,0.33678099513053894,False
Power-law-aware,power_law_aware,42,stenosed,power_law,0.22658461332321167,0.5056843757629395,0.0,0.3396185040473938,False
Power-law-aware,power_law_aware,45,stenosed,power_law,0.16680553555488586,0.3203822076320648,0.0,0.23434391617774963,False
Power-law-aware,power_law_aware,53,stenosed,power_law,0.06083214282989502,0.2407081127166748,0.0,0.2159489393234253,False
Power-law-aware,power_law_aware,54,stenosed,newtonian,0.22552978992462158,0.30646172165870667,0.0,0.2199288159608841,False
Power-law-aware,power_law_aware,61,stenosed,power_law,1.0766513347625732,0.07840483635663986,0.0,0.11187829077243805,False
Power-law-aware,power_law_aware,65,stenosed,newtonian,0.38052278757095337,0.1852255016565323,0.0,0.16401933133602142,False
Power-law-aware,power_law_aware,71,stenosed,power_law,0.11896602809429169,0.24869462847709656,0.0,0.22070905566215515,False
Power-law-aware,power_law_aware,73,stenosed,newtonian,0.16932430863380432,0.13182717561721802,0.0,0.1031242087483406,False
