model,model_key,sample_idx,geometry,fluid_model,relative_l2,target_max,prediction_min,prediction_max,has_negative_prediction
Unconstrained,unconstrained,0,straight,power_law,0.5467203259468079,0.08034113794565201,0.011845705099403858,0.1519801765680313,False
Unconstrained,unconstrained,10,straight,newtonian,0.03980306163430214,0.19187192618846893,-0.0038734839763492346,0.20955833792686462,True
Unconstrained,unconstrained,12,straight,newtonian,0.13729321956634521,0.1769324243068695,-0.0008752830908633769,0.20669884979724884,True
Unconstrained,unconstrained,27,straight,power_law,0.057294514030218124,0.45297399163246155,0.013921604491770267,0.4952600598335266,False
Unconstrained,unconstrained,28,straight,newtonian,0.05874548479914665,0.2612791955471039,-0.009295561350882053,0.2425261288881302,True
Unconstrained,unconstrained,33,straight,power_law,0.05006759241223335,0.2523943781852722,-0.0018592170672491193,0.23892323672771454,True
Unconstrained,unconstrained,49,straight,newtonian,0.037145502865314484,0.4765843451023102,0.005789828486740589,0.49883022904396057,False
Unconstrained,unconstrained,50,straight,power_law,0.03303256258368492,0.3265646696090698,-0.005501400213688612,0.3181236982345581,True
Unconstrained,unconstrained,60,straight,newtonian,0.0331571027636528,0.13412095606327057,0.0038178248796612024,0.14522609114646912,False
Unconstrained,unconstrained,64,straight,newtonian,0.11666099727153778,0.15100044012069702,0.0019447111990302801,0.1700456142425537,False
Unconstrained,unconstrained,67,straight,newtonian,0.09269282221794128,0.27515241503715515,-0.0006057182908989489,0.3045053780078888,True
Unconstrained,unconstrained,68,straight,newtonian,0.06080200895667076,0.20675577223300934,-0.001977495849132538,0.2295200526714325,True
Unconstrained,unconstrained,74,straight,newtonian,0.04477662220597267,0.28855618834495544,0.0015283095417544246,0.30940917134284973,False
Unconstrained,unconstrained,75,straight,power_law,0.16425149142742157,0.12405142933130264,0.007841045036911964,0.16325773298740387,False
Unconstrained,unconstrained,80,straight,newtonian,0.021347835659980774,0.4715355336666107,0.010950000025331974,0.4853907525539398,False
Unconstrained,unconstrained,81,straight,newtonian,0.07006605714559555,0.22336047887802124,-0.0005029269377700984,0.2426074892282486,True
Unconstrained,unconstrained,83,straight,power_law,0.0919119343161583,0.2316398024559021,-0.0002748436527326703,0.2540279030799866,True
Unconstrained,unconstrained,84,straight,newtonian,0.04733486846089363,0.2064063400030136,-0.0007766327471472323,0.19679215550422668,True
Unconstrained,unconstrained,107,straight,newtonian,0.09910415858030319,0.31597355008125305,-0.0007417485467158258,0.2962283790111542,True
Unconstrained,unconstrained,118,straight,newtonian,0.07478805631399155,0.16222107410430908,0.0014753079740330577,0.18270616233348846,False
Unconstrained,unconstrained,120,straight,power_law,0.10669490694999695,0.13537102937698364,0.005479619838297367,0.15980258584022522,False
Unconstrained,unconstrained,123,straight,power_law,0.5252570509910583,0.02701081521809101,0.01409214735031128,0.058680012822151184,False
Unconstrained,unconstrained,125,straight,power_law,0.1532822549343109,0.08752340823411942,0.004886614624410868,0.11570078879594803,False
Unconstrained,unconstrained,127,straight,power_law,0.17152316868305206,0.09509225189685822,0.004708821419626474,0.12130720913410187,False
Unconstrained,unconstrained,130,straight,power_law,0.027633845806121826,0.5987491011619568,0.019149279221892357,0.6284589171409607,False
Unconstrained,unconstrained,132,straight,newtonian,0.08049241453409195,0.27210113406181335,0.0015621933853253722,0.2920536994934082,False
Unconstrained,unconstrained,135,straight,power_law,0.18202312290668488,0.15616317093372345,0.0042534153908491135,0.19510357081890106,False
Unconstrained,unconstrained,137,straight,power_law,0.1752929836511612,0.28116700053215027,0.004885553847998381,0.3434920608997345,False
Unconstrained,unconstrained,140,straight,power_law,0.02507517673075199,0.18536679446697235,0.00019768574566114694,0.1848801225423813,False
Unconstrained,unconstrained,142,straight,newtonian,0.06943454593420029,0.2799294590950012,-0.0006353558273985982,0.3071100413799286,True
Unconstrained,unconstrained,152,straight,power_law,0.0662689357995987,0.09540966153144836,0.003540654666721821,0.10968157649040222,False
Unconstrained,unconstrained,154,straight,power_law,0.238000750541687,0.2288380116224289,0.006274032406508923,0.2930282950401306,False
Unconstrained,unconstrained,176,straight,power_law,0.15453699231147766,0.20970913767814636,0.0021015938837081194,0.2482103407382965,False
Unconstrained,unconstrained,177,straight,newtonian,0.04952773079276085,0.10270453989505768,0.003051272826269269,0.11736178398132324,False
