arch,sampling,holdout,n_seeds,seed_ids,n_test_mean,n_test_std,mean_l2,mean_l2_seed_std,median_l2,median_l2_seed_std,max_l2,max_l2_seed_std,negative_count_mean,negative_count_seed_std,negative_rate_mean,negative_rate_seed_std
unconstrained,uniform,straight,5,"00,01,02,03,04",90.00,0.00,0.16542366,0.02748170,0.10604793,0.01625369,1.30228724,0.44850243,34.8000,12.1532,0.38666667,0.13503543
unconstrained,uniform,stenosed,5,"00,01,02,03,04",94.00,0.00,0.50107694,0.01993611,0.28478672,0.01408935,10.12410221,3.61077412,93.0000,1.0000,0.98936170,0.01063830
unconstrained,uniform,expanded,5,"00,01,02,03,04",107.00,0.00,0.30669267,0.04201581,0.20831789,0.02103548,1.89808290,0.45835364,74.0000,18.0693,0.69158879,0.16887207
unconstrained,uniform,sinusoidal,5,"00,01,02,03,04",100.00,0.00,0.67753637,0.08048380,0.37495978,0.02617845,6.86001620,3.46434757,70.6000,3.3615,0.70600000,0.03361547
unconstrained,uniform,hyperbolic,5,"00,01,02,03,04",109.00,0.00,0.37903222,0.04595839,0.24538633,0.03014459,6.41284380,2.69974054,102.2000,3.0332,0.93761468,0.02782707
unconstrained,geo-axial,straight,5,"00,01,02,03,04",90.00,0.00,0.17082368,0.04105841,0.11586322,0.02655318,1.08171856,0.39847196,42.0000,6.3246,0.46666667,0.07027284
unconstrained,geo-axial,stenosed,5,"00,01,02,03,04",94.00,0.00,0.48179468,0.05756487,0.28784502,0.01733674,8.58520222,4.08587903,91.8000,1.3038,0.97659574,0.01387064
unconstrained,geo-axial,expanded,5,"00,01,02,03,04",107.00,0.00,0.32730793,0.03800542,0.22321208,0.02503348,2.07873785,0.27599903,60.4000,17.1260,0.56448598,0.16005611
unconstrained,geo-axial,sinusoidal,5,"00,01,02,03,04",100.00,0.00,0.66864018,0.08975336,0.37905246,0.02706711,6.90409937,2.98949163,71.0000,3.4641,0.71000000,0.03464102
unconstrained,geo-axial,hyperbolic,5,"00,01,02,03,04",109.00,0.00,0.37554118,0.03466911,0.24268740,0.01596329,6.47880998,2.54552976,103.0000,1.5811,0.94495413,0.01450586
unconstrained,geo-wallstretched,straight,5,"00,01,02,03,04",90.00,0.00,0.18288350,0.01787037,0.11315499,0.01753753,1.45499030,0.50464037,43.8000,17.4986,0.48666667,0.19442857
unconstrained,geo-wallstretched,stenosed,5,"00,01,02,03,04",94.00,0.00,0.48001463,0.07268146,0.28018711,0.01243431,9.15563068,4.23366009,89.4000,4.5607,0.95106383,0.04851810
unconstrained,geo-wallstretched,expanded,5,"00,01,02,03,04",107.00,0.00,0.33347266,0.04690174,0.22624777,0.02931466,2.37166522,0.55510801,74.0000,14.3003,0.69158879,0.13364813
unconstrained,geo-wallstretched,sinusoidal,5,"00,01,02,03,04",100.00,0.00,0.69198266,0.05178655,0.39118497,0.05931431,7.31607509,2.73536412,67.0000,3.8730,0.67000000,0.03872983
unconstrained,geo-wallstretched,hyperbolic,5,"00,01,02,03,04",109.00,0.00,0.39389267,0.03725102,0.24662363,0.01737847,7.22398057,2.75251573,100.4000,7.2319,0.92110092,0.06634747
powerlaw,uniform,straight,5,"00,01,02,03,04",90.00,0.00,0.10710888,0.00250507,0.08014903,0.00560452,0.44267563,0.03049380,0.0000,0.0000,0.00000000,0.00000000
powerlaw,uniform,stenosed,5,"00,01,02,03,04",94.00,0.00,0.21376438,0.01062169,0.19331240,0.00895526,0.86961173,0.14426433,0.0000,0.0000,0.00000000,0.00000000
powerlaw,uniform,expanded,5,"00,01,02,03,04",107.00,0.00,0.28368813,0.01084858,0.20110786,0.00997914,1.70126548,0.13538961,0.0000,0.0000,0.00000000,0.00000000
powerlaw,uniform,sinusoidal,5,"00,01,02,03,04",100.00,0.00,0.28973063,0.04024825,0.24410718,0.02841143,1.58831825,0.80594282,0.0000,0.0000,0.00000000,0.00000000
powerlaw,uniform,hyperbolic,5,"00,01,02,03,04",109.00,0.00,0.19451481,0.00547976,0.18826880,0.01084011,0.54556434,0.06226078,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-axial,straight,5,"00,01,02,03,04",90.00,0.00,0.10489000,0.00151134,0.07629209,0.00309908,0.43704958,0.02842834,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-axial,stenosed,5,"00,01,02,03,04",94.00,0.00,0.21636335,0.01103191,0.19201227,0.01071045,0.86745919,0.21212201,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-axial,expanded,5,"00,01,02,03,04",107.00,0.00,0.26842512,0.03698650,0.17978241,0.01440410,1.62914469,0.14661730,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-axial,sinusoidal,5,"00,01,02,03,04",100.00,0.00,0.28478386,0.03204610,0.24181790,0.02046786,1.62137129,0.71386047,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-axial,hyperbolic,5,"00,01,02,03,04",109.00,0.00,0.19299373,0.00491225,0.18228499,0.00679842,0.54300634,0.06403397,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-wallstretched,straight,5,"00,01,02,03,04",90.00,0.00,0.11034368,0.00209709,0.07937859,0.00436888,0.46051748,0.02778531,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-wallstretched,stenosed,5,"00,01,02,03,04",94.00,0.00,0.22119644,0.02211638,0.19841002,0.01362667,0.88299261,0.29893567,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-wallstretched,expanded,5,"00,01,02,03,04",107.00,0.00,0.25710473,0.02371711,0.18269019,0.01398660,1.52279291,0.22391406,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-wallstretched,sinusoidal,5,"00,01,02,03,04",100.00,0.00,0.28802585,0.04369910,0.23892549,0.02628258,1.62222879,0.75706713,0.0000,0.0000,0.00000000,0.00000000
powerlaw,geo-wallstretched,hyperbolic,5,"00,01,02,03,04",109.00,0.00,0.19549378,0.00474255,0.18485847,0.00536040,0.54208138,0.06336188,0.0000,0.0000,0.00000000,0.00000000
geoaware,uniform,straight,5,"00,01,02,03,04",90.00,0.00,0.10014310,0.00385851,0.07115327,0.00400862,0.43306256,0.03069533,0.0000,0.0000,0.00000000,0.00000000
geoaware,uniform,stenosed,5,"00,01,02,03,04",94.00,0.00,0.14848972,0.00441856,0.11002591,0.01998956,0.94739306,0.26373761,0.0000,0.0000,0.00000000,0.00000000
geoaware,uniform,expanded,5,"00,01,02,03,04",107.00,0.00,0.22471665,0.02147848,0.15148283,0.01115258,1.57437351,0.48954922,0.0000,0.0000,0.00000000,0.00000000
geoaware,uniform,sinusoidal,5,"00,01,02,03,04",100.00,0.00,0.26490319,0.05676373,0.18648358,0.03604844,1.58339627,0.64216959,0.0000,0.0000,0.00000000,0.00000000
geoaware,uniform,hyperbolic,5,"00,01,02,03,04",109.00,0.00,0.13366913,0.00597650,0.10663451,0.01041048,0.50449744,0.03932043,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-axial,straight,5,"00,01,02,03,04",90.00,0.00,0.09844133,0.00462259,0.07211255,0.00856256,0.42598435,0.03145883,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-axial,stenosed,5,"00,01,02,03,04",94.00,0.00,0.15810347,0.00998559,0.11580264,0.01848822,1.17340677,0.15355911,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-axial,expanded,5,"00,01,02,03,04",107.00,0.00,0.22053407,0.01132089,0.14911389,0.01264061,1.54031129,0.37662498,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-axial,sinusoidal,5,"00,01,02,03,04",100.00,0.00,0.25848567,0.05309564,0.19233201,0.03746802,1.56167963,0.60655614,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-axial,hyperbolic,5,"00,01,02,03,04",109.00,0.00,0.13366062,0.00607187,0.10406855,0.00510910,0.48858111,0.04209456,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-wallstretched,straight,5,"00,01,02,03,04",90.00,0.00,0.10141619,0.00325468,0.07439981,0.00698131,0.43009222,0.04079636,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-wallstretched,stenosed,5,"00,01,02,03,04",94.00,0.00,0.14708344,0.00978033,0.10195399,0.00691254,1.06423371,0.24817146,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-wallstretched,expanded,5,"00,01,02,03,04",107.00,0.00,0.20994210,0.00745759,0.14271316,0.01350449,1.48570516,0.40374359,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-wallstretched,sinusoidal,5,"00,01,02,03,04",100.00,0.00,0.26180405,0.05524459,0.18890270,0.04012055,1.53546996,0.60706009,0.0000,0.0000,0.00000000,0.00000000
geoaware,geo-wallstretched,hyperbolic,5,"00,01,02,03,04",109.00,0.00,0.13479718,0.00368423,0.10826385,0.01049201,0.51193649,0.04186724,0.0000,0.0000,0.00000000,0.00000000
